id,text,expected_category,predicted_category,correct
23,처음 지급되는 시작 마법사는 랜덤인가요 고정인가요?,wizard_acquisition,wizard_acquisition,true
24,일반 마법사를 소환할 때 속성은 자동으로 정해지나요?,wizard_acquisition,wizard_acquisition,true
25,전설 마법사는 일반 소환 중에 등장할 수 있나요?,wizard_acquisition,wizard_acquisition,true
26,전설 마법사 등장 확률 안내가 있으면 어디에서 확인할 수 있나요?,wizard_acquisition,wizard_acquisition,true
27,중복 속성 마법사를 얻으면 바로 조합에 사용할 수 있나요?,wizard_acquisition,wizard_acquisition,true
28,골드가 부족할 때 소환 버튼을 눌러도 마법사가 나오지 않는 게 정상인가요?,wizard_acquisition,wizard_acquisition,true
29,소환된 마법사의 속성을 나중에 바꿀 수 있나요?,wizard_acquisition,wizard_acquisition,true
30,새 마법사가 이미 있는 마법사와 겹치지 않게 생성되나요?,wizard_acquisition,wizard_acquisition,true
31,전설 마법사 종류는 소환 시 자동으로 결정되나요?,wizard_acquisition,wizard_acquisition,true
32,불 마법사를 꼭 얻고 싶은데 특정 속성을 선택해서 소환할 수 있나요?,wizard_acquisition,wizard_acquisition,true
33,소환으로 얻은 마법사가 중앙 언덕 밖에 생기지 않는 이유가 있나요?,wizard_acquisition,wizard_acquisition,true
34,골드를 써서 마법사를 추가하는 것과 연구하는 것 중 어떤 차이가 있나요?,wizard_acquisition,gameplay_guide,false
35,전투 시작 무료 마법사와 골드 소환 마법사는 등급 판정이 다른가요?,wizard_acquisition,wizard_acquisition,true
36,소환한 마법사가 전설로 바뀌는 조건이 궁금합니다.,wizard_acquisition,wizard_acquisition,true
37,마법사 획득 후 바로 드래그해서 위치를 바꿀 수 있나요?,wizard_acquisition,wizard_acquisition,true
38,소환 포인트 주변이 꽉 차면 새 마법사는 어디에 생성되나요?,wizard_acquisition,wizard_acquisition,true
39,한 라운드 안에서 마법사를 여러 번 소환해도 되나요?,wizard_acquisition,gameplay_guide,false
40,전설 마법사 확률을 단순 안내로 알고 싶습니다.,wizard_acquisition,wizard_growth,false
41,마법사 공격력 보너스는 어떤 방식으로 성장하나요?,wizard_growth,wizard_growth,true
42,연구를 성공하면 모든 마법사의 공격력이 오르나요?,wizard_growth,wizard_growth,true
43,대성공 연구와 일반 성공 연구의 보너스 차이가 궁금합니다.,wizard_growth,wizard_growth,true
44,레조넌스로 전설 마법사를 만드는 흐름을 설명해 주세요.,wizard_growth,gameplay_guide,false
45,전설 마법사의 성장 한계나 강화 방향이 있나요?,wizard_growth,wizard_growth,true
46,경험치를 얻는 방법과 마법사 획득 방법은 어떻게 구분되나요?,wizard_growth,wizard_growth,true
47,마법사 레벨업에 필요한 경험치는 어디에서 얻나요?,wizard_growth,wizard_acquisition,false
48,성장 보너스가 개별 마법사에 적용되는지 전체에 적용되는지 궁금합니다.,wizard_growth,wizard_growth,true
49,루미엘 축복으로 올라간 공격력도 성장 보너스에 포함되나요?,wizard_growth,skill_combat,false
50,레조넌스 실패 시 재료나 골드가 소비되는지 알려주세요.,wizard_growth,wizard_growth,true
51,전설 마법사 전용 성장 경로를 초보자도 따라갈 수 있나요?,wizard_growth,wizard_growth,true
52,성장 단계가 오르면 스킬 쿨타임에도 영향이 있나요?,wizard_growth,skill_combat,false
53,아케인 연구 비용은 성장할수록 달라지나요?,wizard_growth,skill_combat,false
54,공격력 연구를 먼저 올리는 것이 성장 루트로 좋은가요?,wizard_growth,wizard_growth,true
55,마법사 합성과 레조넌스는 성장 관점에서 어떤 차이가 있나요?,wizard_growth,wizard_growth,true
56,전설 마법사의 경험치 획득량이 일반 마법사와 다른지 궁금합니다.,wizard_growth,wizard_acquisition,false
57,성장 재료를 얻는 방법과 새 마법사를 얻는 방법을 따로 설명해 주세요.,wizard_growth,wizard_growth,true
58,레벨 보너스가 스킬 피해에도 반영되는지 알고 싶어요.,wizard_growth,skill_combat,false
59,성장 가이드가 아니라 실제 성장 수치 기준을 알고 싶습니다.,wizard_growth,wizard_growth,true
60,레조넌스 설명에서 예시가 부족한데 성장 단계별 예시를 볼 수 있나요?,wizard_growth,wizard_growth,true
61,타워 층 선택은 어디에서 하고 선택한 층은 전투에 어떻게 적용되나요?,tower_progress,tower_progress,true
62,다음 층 잠금 해제 조건이 궁금합니다.,tower_progress,tower_progress,true
63,층을 올리면 라운드 난이도나 적 체력이 어떻게 바뀌나요?,tower_progress,tower_progress,true
64,보스가 있는 층을 클리어하려면 어떤 진행 조건을 봐야 하나요?,tower_progress,tower_progress,true
65,현재 층과 라운드 정보를 전투 중 어디에서 확인하나요?,tower_progress,tower_progress,true
66,층 클리어 후 마을이나 선택 화면으로 돌아가는 흐름이 궁금합니다.,tower_progress,tower_progress,true
67,진행 보상은 층 기준으로 지급되나요 라운드 기준으로 지급되나요?,tower_progress,tower_progress,true
68,타워 스크롤 화면이 아래에서 시작하는 이유가 있나요?,tower_progress,tower_progress,true
69,이전 층으로 돌아가서 다시 연습할 수 있나요?,tower_progress,tower_progress,true
70,높은 층에서 적이 더 빨리 몰려오는 구조인지 알고 싶습니다.,tower_progress,bug_report,false
71,층별 추천 전투력 같은 기준이 있나요?,tower_progress,tower_progress,true
72,선택한 층이 전투 시작 후 바뀌지 않는 게 정상인가요?,tower_progress,tower_progress,true
73,라운드가 끝나도 층이 바로 올라가지 않는 경우 조건이 무엇인가요?,tower_progress,tower_progress,true
74,층 진행 보상을 받는 타이밍을 알려주세요.,tower_progress,tower_progress,true
75,타워 진행 중 골드 보상과 전투 중 골드는 별도로 관리되나요?,tower_progress,tower_progress,true
76,층 UI에서 잠긴 버튼과 열린 버튼을 구분하는 방법이 있나요?,tower_progress,tower_progress,true
77,보스 층에서 실패하면 같은 층을 다시 도전해야 하나요?,tower_progress,tower_progress,true
78,층을 선택한 뒤 시작 장면으로 넘어가는 과정이 궁금합니다.,tower_progress,tower_progress,true
79,초반 층에서 막히면 어느 층부터 다시 연습하는 게 좋나요?,tower_progress,tower_progress,true
80,층 진행과 라운드 진행의 차이를 쉽게 설명해 주세요.,tower_progress,tower_progress,true
81,번개 스킬은 어떤 대상에게 연쇄 피해를 주나요?,skill_combat,skill_combat,true
82,오르펠의 빙결 스킬은 적을 얼마나 오래 멈추게 하나요?,skill_combat,skill_combat,true
83,아르덴 화염 스킬의 범위와 피해 방식이 궁금합니다.,skill_combat,skill_combat,true
84,루미엘 축복은 다른 마법사의 공격에도 영향을 주나요?,skill_combat,wizard_growth,false
85,노바린 번개 비 스킬은 무작위 적을 공격하나요?,skill_combat,skill_combat,true
86,스킬 쿨타임이 끝났는지 전투 중 확인하는 방법이 있나요?,skill_combat,tower_progress,false
87,기본 공격과 자동 스킬이 동시에 나가지 않는 경우가 정상인가요?,skill_combat,skill_combat,true
88,빙결과 둔화가 함께 걸리면 이동 속도는 어떻게 계산되나요?,skill_combat,skill_combat,true
89,화상 피해는 적 체력 바에 바로 반영되나요?,skill_combat,skill_combat,true
90,분열 슬라임에게 범위 스킬을 쓰면 새로 나온 적도 맞나요?,skill_combat,skill_combat,true
91,마법 투사체가 가장 가까운 적을 우선 공격하나요?,skill_combat,skill_combat,true
92,스킬 피해 계산에 전역 공격력 보너스가 포함되나요?,skill_combat,skill_combat,true
93,상태 이상 효과가 보스에게도 똑같이 적용되나요?,skill_combat,skill_combat,true
94,루미엘 축복 파동 효과가 보이면 실제 버프도 적용된 건가요?,skill_combat,skill_combat,true
95,번개 체인 이펙트와 실제 피해 타이밍이 어떻게 연결되나요?,skill_combat,skill_combat,true
96,오르펠 스킬 범위 안에 적이 없으면 스킬을 아끼나요?,skill_combat,skill_combat,true
97,불 속성 공격과 화상 지속 피해는 별도 피해로 계산되나요?,skill_combat,skill_combat,true
98,스킬이 발동하는 동안 기본 공격이 잠기는 이유가 궁금합니다.,skill_combat,skill_combat,true
99,적이 경로 끝에 가까울 때 스킬 우선순위가 달라지나요?,skill_combat,skill_combat,true
100,피해 팝업 숫자와 실제 체력 감소가 같은 기준인지 알고 싶어요.,skill_combat,tower_progress,false
101,레조넌스 작동 후 전설 마법사가 생성되지 않고 재료만 사라졌어요.,bug_report,bug_report,true
102,마법사 소환 버튼을 눌렀는데 골드만 줄고 새 마법사가 나오지 않았습니다.,bug_report,wizard_acquisition,false
103,소환 UI가 멈춘 뒤 전투 진행이 안 됩니다.,bug_report,bug_report,true
104,마법사를 배치한 뒤 클릭 입력을 간헐적으로 인식하지 못합니다.,bug_report,gameplay_guide,false
105,중앙 언덕 안에 있는데도 마법사가 갑자기 밖으로 튕겨 나가 보입니다.,bug_report,wizard_acquisition,false
106,적 경로 위에 소환 포인트가 생긴 것처럼 보여서 적 이동이 이상합니다.,bug_report,bug_report,true
107,타워 층을 선택했는데 전투에서는 다른 층으로 시작됩니다.,bug_report,tower_progress,false
108,층 클리어 후 보상 화면 없이 마을로 돌아가 버렸습니다.,bug_report,tower_progress,false
109,레벨 보상이 두 번 지급된 것 같습니다 확인 부탁드립니다.,bug_report,feedback_balance,false
110,게임이 특정 라운드에서 강제 종료됩니다.,bug_report,feedback_balance,false
111,프레임 드랍이 적이 많이 몰릴 때만 심하게 발생합니다.,bug_report,bug_report,true
112,그래픽이 깨져서 마법사와 적이 겹쳐 보입니다.,bug_report,bug_report,true
113,플레이 중 간헐적으로 사운드가 끊깁니다.,bug_report,bug_report,true
114,음악 버튼을 눌러도 볼륨 상태가 바뀌지 않습니다.,bug_report,bug_report,true
115,루미엘 축복 이펙트는 보이는데 공격력 보너스가 적용되지 않는 것 같습니다.,bug_report,feedback_balance,false
116,오르펠 빙결 스킬이 발동했는데 적이 계속 움직입니다.,bug_report,bug_report,true
117,번개 체인 이펙트가 적과 연결되지 않고 허공에 남아 있습니다.,bug_report,bug_report,true
118,화상 이펙트가 끝났는데 적이 계속 피해를 받는 것 같습니다.,bug_report,bug_report,true
119,분열 슬라임 처치 후 작은 슬라임이 경로를 벗어나 움직입니다.,bug_report,bug_report,true
120,저장된 진행도가 사라져서 이전 층부터 다시 시작됩니다.,bug_report,tower_progress,false
121,타워 스크롤 UI가 열릴 때 버튼이 겹쳐 눌리지 않습니다.,bug_report,bug_report,true
122,전투 속도 버튼을 눌렀는데 속도가 바뀌지 않습니다.,bug_report,bug_report,true
123,아케인 연구 성공 메시지는 떴는데 공격력 수치가 변하지 않았습니다.,bug_report,bug_report,true
124,마법사 합성 후 결과 마법사가 생성되지 않고 두 재료가 사라졌습니다.,bug_report,bug_report,true
125,전투 중 피해 팝업이 화면 밖에 표시되어 숫자를 확인할 수 없습니다.,bug_report,bug_report,true
126,초반 골드 획득량이 소환 비용에 비해 너무 낮게 느껴집니다.,feedback_balance,feedback_balance,true
127,아케인 연구 비용 대비 공격력 증가량이 약한 것 같습니다.,feedback_balance,feedback_balance,true
128,타워 업그레이드 비용 대비 진행 효율이 낮습니다.,feedback_balance,feedback_balance,true
129,전설 마법사 등장 확률이 낮아 운 요소가 너무 큽니다.,feedback_balance,feedback_balance,true
130,특정 스킬 조합만 지나치게 강해서 다른 조합을 쓰기 어렵습니다.,feedback_balance,feedback_balance,true
131,번개 체인 스킬이 많은 적에게 너무 강하게 작동하는 것 같습니다.,feedback_balance,feedback_balance,true
132,오르펠 빙결 시간이 길어서 보스도 너무 쉽게 잡히는 느낌입니다.,feedback_balance,feedback_balance,true
133,루미엘 축복 보너스가 체감되지 않아 전설 가치가 낮아 보여요.,feedback_balance,bug_report,false
134,화상 지속 피해가 초반 라운드에서 지나치게 강한 것 같습니다.,feedback_balance,feedback_balance,true
135,분열 슬라임 보상이 난이도에 비해 적다고 느낍니다.,feedback_balance,feedback_balance,true
136,높은 층 보상이 위험도에 비해 충분하지 않은 것 같습니다.,feedback_balance,feedback_balance,true
137,성장 재료를 얻는 속도가 레벨업 요구량보다 너무 느립니다.,feedback_balance,wizard_growth,false
138,전설 마법사 없이 진행하는 빌드가 너무 불리한 것 같습니다.,feedback_balance,feedback_balance,true
139,특정 속성 조합만 효율이 좋아서 덱 다양성이 떨어집니다.,feedback_balance,feedback_balance,true
140,마법사 소환 비용이 후반에도 같은 구조라 선택지가 단조롭습니다.,feedback_balance,bug_report,false
141,라운드 후반 적 체력 증가량이 너무 급격합니다.,feedback_balance,feedback_balance,true
142,보스 층 난이도가 이전 층에 비해 갑자기 높아집니다.,feedback_balance,feedback_balance,true
143,연구 대성공 확률이 낮아 골드를 쓰기 부담스럽습니다.,feedback_balance,feedback_balance,true
144,전투 속도 증가가 편하지만 난이도 체감이 너무 크게 바뀝니다.,feedback_balance,feedback_balance,true
145,스킬 설명과 실제 성능 차이가 밸런스 판단을 어렵게 만듭니다.,feedback_balance,skill_combat,false
146,초반에는 바람 속성 마법사의 가치가 너무 낮게 느껴집니다.,feedback_balance,feedback_balance,true
147,타워 진행 보상으로 받는 성장 자원이 너무 적습니다.,feedback_balance,feedback_balance,true
148,마법사 합성 결과가 소모한 재료 가치에 비해 약한 것 같습니다.,feedback_balance,feedback_balance,true
149,소환 운이 나쁘면 초반 라운드를 넘기기 힘든 구조가 아쉽습니다.,feedback_balance,feedback_balance,true
150,현재 메타에서는 루미엘 축복 조합만 반복해서 쓰게 됩니다.,feedback_balance,feedback_balance,true
